City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,mhamid,29.82,-5.72,10.24,47,78,1.69,MA,1704601573
340,sinabang,2.4803,96.3801,27.3,80,100,2.7,ID,1704601574
341,kencong,-8.2833,113.3667,30.47,58,98,1.35,ID,1704601574
342,bardai,11.65,7.2333,16.04,23,12,4.07,NG,1704601574
343,holualoa,19.6228,-155.9522,23.91,88,40,2.57,US,1704601575
344,puerto armuelles,8.2833,-82.8667,25.15,87,74,1.93,PA,1704601575
345,taulaga,-11.0553,-171.0883,29.18,71,100,2.53,AS,1704601575
346,ndele,8.4109,20.6473,18.27,24,1,2.1,CF,1704601576
347,carutapera,-1.195,-46.02,24.43,94,100,1.44,BR,1704601576
348,nefta,33.8731,7.8777,7.14,53,5,8.59,TN,1704601577
349,mapimi,25.8167,-103.85,10.91,19,89,0.98,MX,1704601577
350,fomboni,-12.28,43.7425,28.11,79,28,3.22,KM,1704601577
351,ben mehidi,36.7697,7.9064,8.99,81,75,8.75,DZ,1704601578
352,cabedelo,-6.9811,-34.8339,25.37,74,5,3.37,BR,1704601578
353,san julian,21.0167,-102.1667,12.04,41,59,2.26,MX,1704601578
354,college,64.8569,-147.8028,-20.31,76,20,2.06,US,1704601344
355,urucara,-2.5364,-57.76,22.71,98,100,0.81,BR,1704601579
356,votuporanga,-20.4228,-49.9728,24.96,56,34,1.72,BR,1704601579
357,thames,-37.1333,175.5333,22.08,65,52,2.71,NZ,1704601580
358,san patricio,28.017,-97.5169,15.47,55,84,2.65,US,1704601580
359,mil'kovo,55.6078,37.7956,-19.25,92,24,3.55,RU,1704601580
360,sarmiento,-45.5882,-69.07,16.12,35,15,8.54,AR,1704601581
361,ambalangoda,6.2355,80.0538,27.3,76,52,0.17,LK,1704601581
362,queenstown,-31.8976,26.8753,17.53,82,82,0.94,ZA,1704601582
363,naze,28.3667,129.4833,16.51,52,39,6.96,JP,1704601583
364,dakhla,23.6848,-15.958,18.76,60,73,5.12,EH,1704601583
365,krapivinskiy,54.9992,86.8133,-19.13,100,98,0.21,RU,1704601584
